weight,correlation,abs_correlation,source,target
1,0.8635409083911906,0.8635409083911906,204023_at,204299_at
1,0.8919776232435068,0.8919776232435068,204023_at,236641_at
1,0.8945732834007456,0.8945732834007456,204023_at,204886_at
1,-0.8176714094542017,0.8176714094542017,204023_at,201360_at
1,0.9131924269469879,0.9131924269469879,204023_at,201930_at
1,0.8306406816390072,0.8306406816390072,204023_at,205347_s_at
1,0.8079515723458539,0.8079515723458539,204023_at,207039_at
1,0.891793402727078,0.891793402727078,204023_at,221258_s_at
1,0.8756367888109019,0.8756367888109019,204023_at,205909_at
1,0.8282848832729,0.8282848832729,204023_at,215691_x_at
1,0.8604357467326899,0.8604357467326899,204023_at,205260_s_at
1,-0.8268225549158325,0.8268225549158325,204023_at,218215_s_at
1,0.8602058998873852,0.8602058998873852,204023_at,235609_at
1,0.8713654298713399,0.8713654298713399,204023_at,209891_at
1,0.900002272573399,0.900002272573399,204023_at,213226_at
1,0.891340056669046,0.891340056669046,204023_at,219148_at
1,-0.7803355816535598,0.7803355816535598,204023_at,202861_at
1,0.8639931599172305,0.8639931599172305,204023_at,218039_at
1,0.8994960955441176,0.8994960955441176,204023_at,201202_at
1,0.8852982543068989,0.8852982543068989,204023_at,222843_at
1,0.8721036195526558,0.8721036195526558,204023_at,223229_at
1,0.8791433834521798,0.8791433834521798,204023_at,231855_at
1,-0.848264956369162,0.848264956369162,204023_at,202867_s_at
1,0.8687103630652798,0.8687103630652798,204023_at,228033_at
1,0.8524730436994683,0.8524730436994683,204023_at,209302_at
1,0.8667150904851673,0.8667150904851673,204023_at,204354_at
1,0.8901961585391631,0.8901961585391631,204023_at,226936_at
1,0.7979812205834712,0.7979812205834712,204023_at,209644_x_at
1,0.8786435487246983,0.8786435487246983,204023_at,206316_s_at
1,0.8755623858116524,0.8755623858116524,204023_at,203358_s_at
1,0.7913837303755323,0.7913837303755323,204023_at,212255_s_at
1,0.8089383755222996,0.8089383755222996,204023_at,241704_x_at
1,0.8958930955624204,0.8958930955624204,204023_at,225834_at
1,-0.7460562716923286,0.7460562716923286,204023_at,208791_at
1,0.8777234324149844,0.8777234324149844,204023_at,219918_s_at
1,0.8795178087259509,0.8795178087259509,204023_at,201292_at
1,0.8906571471766475,0.8906571471766475,204023_at,213092_x_at
1,0.8029103640558091,0.8029103640558091,204023_at,202904_s_at
1,0.8918425150498512,0.8918425150498512,204023_at,213088_s_at
1,0.8895811121048052,0.8895811121048052,204023_at,202954_at
1,0.8725949587810162,0.8725949587810162,204023_at,202268_s_at
1,-0.7583827485586372,0.7583827485586372,204023_at,215706_x_at
1,0.8545196399350397,0.8545196399350397,204023_at,202911_at
1,0.8740557792396253,0.8740557792396253,204023_at,218883_s_at
1,0.8408633336716062,0.8408633336716062,204023_at,222740_at
1,0.8506821098657491,0.8506821098657491,204023_at,201833_at
1,0.8726616263503238,0.8726616263503238,204023_at,235363_at
1,0.8544751000306312,0.8544751000306312,204023_at,200893_at
1,0.8233903889366309,0.8233903889366309,204023_at,203960_s_at
1,0.8334105722817504,0.8334105722817504,204023_at,229025_s_at
1,0.8239682631316525,0.8239682631316525,204023_at,218049_s_at
1,0.8520143619323334,0.8520143619323334,204023_at,202184_s_at
1,0.8277696467631149,0.8277696467631149,204023_at,225017_at
1,0.8836512867244889,0.8836512867244889,204023_at,228729_at
1,0.8593212097876622,0.8593212097876622,204023_at,221521_s_at
1,0.8831101057465452,0.8831101057465452,204023_at,222958_s_at
1,0.8699680658664721,0.8699680658664721,204023_at,1554572_a_at
1,0.8794246992846548,0.8794246992846548,204023_at,202633_at
1,0.8643477967201878,0.8643477967201878,204023_at,203764_at
1,0.8093578458559169,0.8093578458559169,204023_at,221842_s_at
1,0.8084522862819973,0.8084522862819973,204023_at,235648_at
1,0.8903107188257486,0.8903107188257486,204023_at,202589_at
1,-0.7288052607823206,0.7288052607823206,204023_at,208792_s_at
1,0.8314558812852986,0.8314558812852986,204023_at,218482_at
1,-0.7470258582108275,0.7470258582108275,204023_at,200982_s_at
1,0.860407920419028,0.860407920419028,204023_at,205063_at
1,0.821747103901729,0.821747103901729,204023_at,209748_at
1,0.780689993280484,0.780689993280484,204023_at,214097_at
1,0.8894076464596601,0.8894076464596601,204023_at,208079_s_at
1,0.8445342191513151,0.8445342191513151,204023_at,211747_s_at
1,0.8702622608866054,0.8702622608866054,204023_at,222848_at
1,0.812441651350116,0.812441651350116,204023_at,213253_at
1,0.8578312871949428,0.8578312871949428,204023_at,222036_s_at
1,0.8681656923571603,0.8681656923571603,204023_at,213911_s_at
1,0.8032381597682585,0.8032381597682585,204023_at,228191_at
1,0.8457144136629356,0.8457144136629356,204023_at,204603_at
1,0.8756339592583127,0.8756339592583127,204023_at,202107_s_at
1,0.8222312377056478,0.8222312377056478,204023_at,204571_x_at
1,0.8700960432863578,0.8700960432863578,204023_at,204825_at
1,0.8731168635870581,0.8731168635870581,204023_at,218355_at
1,0.894597638442796,0.894597638442796,204023_at,205053_at
1,0.8738113027610204,0.8738113027610204,204023_at,211115_x_at
1,0.782517794675721,0.782517794675721,204023_at,200934_at
1,0.8051734743757658,0.8051734743757658,204023_at,223898_at
1,0.7875776498466793,0.7875776498466793,204023_at,1558700_s_at
1,0.812078016857974,0.812078016857974,204023_at,202666_s_at
1,0.8307556338839394,0.8307556338839394,204023_at,201111_at
1,0.8565948658263982,0.8565948658263982,204023_at,1553984_s_at
1,0.9089638093833063,0.9089638093833063,204023_at,228774_at
1,0.8546514640602595,0.8546514640602595,204023_at,203351_s_at
1,-0.7836793537980844,0.7836793537980844,204023_at,207966_s_at
1,0.819341838623644,0.819341838623644,204023_at,222201_s_at
1,0.8802415679870227,0.8802415679870227,204023_at,205046_at
1,0.8026095426454943,0.8026095426454943,204023_at,201450_s_at
1,0.7769913441122542,0.7769913441122542,204023_at,203744_at
1,0.801133590673234,0.801133590673234,204023_at,231895_at
1,0.7873554141510043,0.7873554141510043,204023_at,218277_s_at
1,0.8296832588091556,0.8296832588091556,204023_at,226832_at
1,0.7697951653396956,0.7697951653396956,204023_at,229533_x_at
1,0.8024562628378773,0.8024562628378773,204023_at,202903_at
1,0.8038895725867454,0.8038895725867454,204023_at,200050_at
1,-0.746623392150819,0.746623392150819,204023_at,212257_s_at
1,0.8288744509070901,0.8288744509070901,204023_at,226165_at
1,-0.8007386105663252,0.8007386105663252,204023_at,210778_s_at
1,0.8054440356534173,0.8054440356534173,204023_at,224129_s_at
1,0.7967150342144338,0.7967150342144338,204023_at,201418_s_at
1,0.7746995566097737,0.7746995566097737,204023_at,218617_at
1,0.8780391041506359,0.8780391041506359,204023_at,219306_at
1,0.8227007336702515,0.8227007336702515,204023_at,209358_at
1,-0.799714167633416,0.799714167633416,204023_at,210872_x_at
1,0.8237278094903404,0.8237278094903404,204023_at,223416_at
1,0.8693994198615741,0.8693994198615741,204023_at,207165_at
1,-0.736249338919826,0.736249338919826,204023_at,1554690_a_at
1,0.7845647278517801,0.7845647278517801,204023_at,203560_at
1,0.8630961766812232,0.8630961766812232,204023_at,201088_at
1,-0.7722760983401397,0.7722760983401397,204023_at,201373_at
1,-0.7803207520976719,0.7803207520976719,204023_at,211769_x_at
1,0.8715416134105886,0.8715416134105886,204023_at,204962_s_at
1,0.8599732351115558,0.8599732351115558,204023_at,218009_s_at
1,0.7871233046155558,0.7871233046155558,204023_at,219177_at
1,0.8399349685213449,0.8399349685213449,204023_at,200608_s_at
1,-0.8023175293147522,0.8023175293147522,204023_at,216267_s_at
1,0.9393410722326327,0.9393410722326327,219787_s_at,205339_at
1,0.9107804475707681,0.9107804475707681,219787_s_at,201477_s_at
1,0.9213878858831535,0.9213878858831535,219787_s_at,218875_s_at
1,0.9129433695298472,0.9129433695298472,219787_s_at,225686_at
1,0.8869386531521923,0.8869386531521923,219787_s_at,202690_s_at
1,0.888114253454991,0.888114253454991,219787_s_at,204127_at
1,0.8758784237536593,0.8758784237536593,219787_s_at,218979_at
1,0.8865106948792151,0.8865106948792151,219787_s_at,209172_s_at
1,0.8471261345173842,0.8471261345173842,219787_s_at,214051_at
1,0.7979096359664934,0.7979096359664934,219787_s_at,219000_s_at
1,0.8761767782500395,0.8761767782500395,219787_s_at,235545_at
1,0.8611222331414754,0.8611222331414754,219787_s_at,218397_at
1,0.9061688034856534,0.9061688034856534,219787_s_at,205176_s_at
1,0.9197531834473736,0.9197531834473736,219787_s_at,204146_at
1,0.8701384950341254,0.8701384950341254,219787_s_at,218757_s_at
1,0.9093934824822247,0.9093934824822247,219787_s_at,223381_at
1,0.8998887178184692,0.8998887178184692,219787_s_at,213647_at
1,0.8288914994500525,0.8288914994500525,219787_s_at,203316_s_at
1,0.9057312974183491,0.9057312974183491,219787_s_at,218252_at
